"","run_num","sp","var","mean","se","n_fish","n_dfly","mean_fish","mean_dfly","sync_fish","sync_dfly","asym_fish","asym_dfly","surv_fish","surv_dfly","surv_tot","biom_fish","biom_dfly","biom_tot"
"123",21,"d","mass",6.49310344827586,0.0105955268774325,40,40,15,30,"med","high","none","none",40,29,69,282.7,188.3,471
"124",21,"f","emer",77.525,0.412037911343866,40,40,15,30,"med","high","none","none",40,29,69,282.7,188.3,471
"125",21,"f","grow",0.13191543322473,0.000582665320612195,40,40,15,30,"med","high","none","none",40,29,69,282.7,188.3,471
"126",21,"f","mass",7.0675,0.0130044063045313,40,40,15,30,"med","high","none","none",40,29,69,282.7,188.3,471
"127",22,"d","emer",109.166666666667,1.13499146226415,40,40,15,30,"med","high","none","none",40,30,70,280,193.15,473.15
"128",22,"d","grow",0.0967827626784867,0.00104121441357531,40,40,15,30,"med","high","none","none",40,30,70,280,193.15,473.15
"129",22,"d","mass",6.43833333333333,0.00888068347328886,40,40,15,30,"med","high","none","none",40,30,70,280,193.15,473.15
"130",22,"f","emer",78.05,0.403110899673895,40,40,15,30,"med","high","none","none",40,30,70,280,193.15,473.15
"131",22,"f","grow",0.130459944035835,0.000639101629011495,40,40,15,30,"med","high","none","none",40,30,70,280,193.15,473.15
"132",22,"f","mass",7,0.0108419590906384,40,40,15,30,"med","high","none","none",40,30,70,280,193.15,473.15
"133",23,"d","emer",114.733333333333,1.2684178256127,40,40,15,30,"med","high","none","none",39,30,69,277.95,195.25,473.2
"134",23,"d","grow",0.0914482743550427,0.00105981426026009,40,40,15,30,"med","high","none","none",39,30,69,277.95,195.25,473.2
"135",23,"d","mass",6.50833333333333,0.014869053809001,40,40,15,30,"med","high","none","none",39,30,69,277.95,195.25,473.2
"136",23,"f","emer",76.8461538461538,0.343332756913122,40,40,15,30,"med","high","none","none",39,30,69,277.95,195.25,473.2
"137",23,"f","grow",0.12737591890451,0.000546973113226663,40,40,15,30,"med","high","none","none",39,30,69,277.95,195.25,473.2
"138",23,"f","mass",7.12692307692308,0.0134811121554606,40,40,15,30,"med","high","none","none",39,30,69,277.95,195.25,473.2
"139",24,"d","emer",101.115384615385,0.993370148158131,40,40,15,30,"med","high","none","none",39,26,65,270.8,172.05,442.85
"140",24,"d","grow",0.0995018934520375,0.00107072214544852,40,40,15,30,"med","high","none","none",39,26,65,270.8,172.05,442.85
"141",24,"d","mass",6.61730769230769,0.0180395875299898,40,40,15,30,"med","high","none","none",39,26,65,270.8,172.05,442.85
"142",24,"f","emer",78.025641025641,0.347188795181937,40,40,15,30,"med","high","none","none",39,26,65,270.8,172.05,442.85
"143",24,"f","grow",0.124055204292274,0.00047742471052361,40,40,15,30,"med","high","none","none",39,26,65,270.8,172.05,442.85
"144",24,"f","mass",6.94358974358974,0.011598954811673,40,40,15,30,"med","high","none","none",39,26,65,270.8,172.05,442.85
"145",25,"d","emer",104.111111111111,0.764650494153307,40,40,15,30,"med","high","mild","none",35,36,71,243.2,237.95,481.15
"146",25,"d","grow",0.106268302265951,0.000863194999547267,40,40,15,30,"med","high","mild","none",35,36,71,243.2,237.95,481.15
"147",25,"d","mass",6.60972222222222,0.0101890174368116,40,40,15,30,"med","high","mild","none",35,36,71,243.2,237.95,481.15
"148",25,"f","emer",87.1428571428571,0.533809739774546,40,40,15,30,"med","high","mild","none",35,36,71,243.2,237.95,481.15
"149",25,"f","grow",0.106326108584923,0.000582854354384177,40,40,15,30,"med","high","mild","none",35,36,71,243.2,237.95,481.15
"150",25,"f","mass",6.94857142857143,0.0157390397630653,40,40,15,30,"med","high","mild","none",35,36,71,243.2,237.95,481.15
"151",26,"d","emer",93.7272727272727,0.751119180539439,40,40,15,30,"med","high","mild","none",36,33,69,240.2,223.95,464.15
"152",26,"d","grow",0.119047706131543,0.000929645849130091,40,40,15,30,"med","high","mild","none",36,33,69,240.2,223.95,464.15
"153",26,"d","mass",6.78636363636364,0.0123514632450646,40,40,15,30,"med","high","mild","none",36,33,69,240.2,223.95,464.15
"154",26,"f","emer",99.1111111111111,0.800318988921919,40,40,15,30,"med","high","mild","none",36,33,69,240.2,223.95,464.15
"155",26,"f","grow",0.0915739293794137,0.000591131714247256,40,40,15,30,"med","high","mild","none",36,33,69,240.2,223.95,464.15
"156",26,"f","mass",6.67222222222222,0.0106782986987693,40,40,15,30,"med","high","mild","none",36,33,69,240.2,223.95,464.15
"157",27,"d","emer",96.8857142857143,0.788597351558184,40,40,15,30,"med","high","mild","none",33,35,68,220.3,241.65,461.95
"158",27,"d","grow",0.117112265780127,0.00102424879981421,40,40,15,30,"med","high","mild","none",33,35,68,220.3,241.65,461.95
"159",27,"d","mass",6.90428571428571,0.0188166468295426,40,40,15,30,"med","high","mild","none",33,35,68,220.3,241.65,461.95
"160",27,"f","emer",97.8787878787879,0.643215170984356,40,40,15,30,"med","high","mild","none",33,35,68,220.3,241.65,461.95
"161",27,"f","grow",0.0936057291623802,0.000609790833547535,40,40,15,30,"med","high","mild","none",33,35,68,220.3,241.65,461.95
"162",27,"f","mass",6.67575757575758,0.0126546970919286,40,40,15,30,"med","high","mild","none",33,35,68,220.3,241.65,461.95
"163",28,"d","emer",101.53125,0.893912275724541,40,40,15,30,"med","high","mild","none",32,32,64,217.7,219.7,437.4
"164",28,"d","grow",0.112896011848521,0.00113270103322245,40,40,15,30,"med","high","mild","none",32,32,64,217.7,219.7,437.4
"165",28,"d","mass",6.865625,0.0156624425369991,40,40,15,30,"med","high","mild","none",32,32,64,217.7,219.7,437.4
"166",28,"f","emer",92.375,0.707140193330993,40,40,15,30,"med","high","mild","none",32,32,64,217.7,219.7,437.4
"167",28,"f","grow",0.0985793929266485,0.000696031526002624,40,40,15,30,"med","high","mild","none",32,32,64,217.7,219.7,437.4
"168",28,"f","mass",6.803125,0.016003173021279,40,40,15,30,"med","high","mild","none",32,32,64,217.7,219.7,437.4
"169",29,"d","emer",101.558823529412,0.840267610936178,40,40,15,30,"med","high","mild","none",33,34,67,224.25,231.3,455.55
"170",29,"d","grow",0.114553250508789,0.00103500203320739,40,40,15,30,"med","high","mild","none",33,34,67,224.25,231.3,455.55
"171",29,"d","mass",6.80294117647059,0.0145397982266705,40,40,15,30,"med","high","mild","none",33,34,67,224.25,231.3,455.55
"172",29,"f","emer",95.0606060606061,0.512411350590668,40,40,15,30,"med","high","mild","none",33,34,67,224.25,231.3,455.55
"173",29,"f","grow",0.0953988013224713,0.000633303344788638,40,40,15,30,"med","high","mild","none",33,34,67,224.25,231.3,455.55
"174",29,"f","mass",6.79545454545454,0.0169879654962116,40,40,15,30,"med","high","mild","none",33,34,67,224.25,231.3,455.55
"175",30,"d","emer",101.757575757576,0.915508606801205,40,40,15,30,"med","high","mild","none",35,33,68,239.35,222.3,461.65
"176",30,"d","grow",0.11143418724412,0.00102468564581957,40,40,15,30,"med","high","mild","none",35,33,68,239.35,222.3,461.65
"177",30,"d","mass",6.73636363636364,0.0153129314994802,40,40,15,30,"med","high","mild","none",35,33,68,239.35,222.3,461.65
"178",30,"f","emer",91.9142857142857,0.554166643563977,40,40,15,30,"med","high","mild","none",35,33,68,239.35,222.3,461.65
"179",30,"f","grow",0.100463413802306,0.000636633602733666,40,40,15,30,"med","high","mild","none",35,33,68,239.35,222.3,461.65
"180",30,"f","mass",6.83857142857143,0.0128107740627614,40,40,15,30,"med","high","mild","none",35,33,68,239.35,222.3,461.65
"181",31,"d","emer",89.325,0.399012703833491,40,40,15,30,"med","high","strong","none",29,40,69,187.75,293.15,480.9
"182",31,"d","grow",0.147218681529067,0.000726909593269874,40,40,15,30,"med","high","strong","none",29,40,69,187.75,293.15,480.9
"183",31,"d","mass",7.32875,0.0159498600890094,40,40,15,30,"med","high","strong","none",29,40,69,187.75,293.15,480.9
"184",31,"f","emer",145.206896551724,0.921239264670651,40,40,15,30,"med","high","strong","none",29,40,69,187.75,293.15,480.9
"185",31,"f","grow",0.0541359145022329,0.000363456518669489,40,40,15,30,"med","high","strong","none",29,40,69,187.75,293.15,480.9
"186",31,"f","mass",6.47413793103448,0.0101857711590131,40,40,15,30,"med","high","strong","none",29,40,69,187.75,293.15,480.9
"187",32,"d","emer",90.2820512820513,0.555290910569754,40,40,15,30,"med","high","strong","none",26,39,65,174.55,290.75,465.3
"188",32,"d","grow",0.149283923553222,0.000874920798994456,40,40,15,30,"med","high","strong","none",26,39,65,174.55,290.75,465.3
