"","run_num","sync_fish","sync_dfly","asym_fish","asym_dfly","surv_fish","surv_dfly","biom_fish","biom_dfly","biom_tot","sp","id","meta","hatch_date","end_date","growth_time","growth_rate","max_size"
"94",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","21",1,39,116,77,0.0824675324675325,6.35
"95",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","22",1,33,108,75,0.088,6.6
"96",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","23",1,32,93,61,0.108196721311475,6.6
"97",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","24",0,44,108,64,0.07421875,4.75
"98",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","25",1,39,128,89,0.0735955056179775,6.55
"99",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","26",1,46,167,121,0.0520661157024793,6.3
"100",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","27",1,38,137,99,0.0616161616161616,6.1
"101",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","28",1,44,153,109,0.0577981651376147,6.3
"102",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","29",1,32,88,56,0.116071428571429,6.5
"103",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","3",0,51,123,72,0.0611111111111111,4.4
"104",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","30",1,27,87,60,0.111666666666667,6.7
"105",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","31",1,44,126,82,0.073780487804878,6.05
"106",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","32",1,27,88,61,0.116393442622951,7.1
"107",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","33",1,35,119,84,0.0726190476190476,6.1
"108",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","34",1,36,116,80,0.08,6.4
"109",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","35",0,70,110,40,0.0775,3.1
"110",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","36",1,36,121,85,0.0711764705882353,6.05
"111",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","37",1,32,107,75,0.0913333333333333,6.85
"112",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","38",1,18,69,51,0.142156862745098,7.25
"113",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","39",1,46,180,134,0.0473880597014925,6.35
"114",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","4",1,52,163,111,0.0572072072072072,6.35
"115",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","40",1,30,95,65,0.0992307692307692,6.45
"116",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","5",1,27,77,50,0.137,6.85
"117",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","6",1,36,100,64,0.1,6.4
"118",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","7",1,39,111,72,0.0881944444444444,6.35
"119",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","8",0,62,146,84,0.0535714285714286,4.5
"120",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","9",1,30,89,59,0.111016949152542,6.55
"121",2,"high","high","none","none",40,33,280.6,214.85,495.45,"f","1",1,21,74,53,0.133962264150943,7.1
"122",2,"high","high","none","none",40,33,280.6,214.85,495.45,"f","10",1,27,75,48,0.1375,6.6
"123",2,"high","high","none","none",40,33,280.6,214.85,495.45,"f","11",1,24,78,54,0.137037037037037,7.4
"124",2,"high","high","none","none",40,33,280.6,214.85,495.45,"f","12",1,19,75,56,0.136607142857143,7.65
"125",2,"high","high","none","none",40,33,280.6,214.85,495.45,"f","13",1,26,74,48,0.139583333333333,6.7
